Test File,N,M,L,Average Time (s)
test_7450.txt,7450,7450,7450,0.006476
test_7500.txt,7500,7500,7500,0.005759
test_7550.txt,7550,7550,7550,0.006623
test_7600.txt,7600,7600,7600,0.006683
test_7650.txt,7650,7650,7650,0.006129
test_7700.txt,7700,7700,7700,0.005701
test_7750.txt,7750,7750,7750,0.005942
test_7800.txt,7800,7800,7800,0.007133
test_7850.txt,7850,7850,7850,0.006407
test_7900.txt,7900,7900,7900,0.005693
test_7950.txt,7950,7950,7950,0.009161
test_8000.txt,8000,8000,8000,0.007263
test_8050.txt,8050,8050,8050,0.009563
test_8100.txt,8100,8100,8100,0.006905
test_8150.txt,8150,8150,8150,0.008019
test_8200.txt,8200,8200,8200,0.007606
test_8250.txt,8250,8250,8250,0.006705
test_8300.txt,8300,8300,8300,0.00713
test_8350.txt,8350,8350,8350,0.006979
test_8400.txt,8400,8400,8400,0.006156
test_8450.txt,8450,8450,8450,0.00632
test_8500.txt,8500,8500,8500,0.006424
test_8550.txt,8550,8550,8550,0.005781
test_8600.txt,8600,8600,8600,0.006603
test_8650.txt,8650,8650,8650,0.007507
test_8700.txt,8700,8700,8700,0.006229
test_8750.txt,8750,8750,8750,0.006202
test_8800.txt,8800,8800,8800,0.006419
test_8850.txt,8850,8850,8850,0.005941
test_8900.txt,8900,8900,8900,0.00595
test_8950.txt,8950,8950,8950,0.005929
test_9000.txt,9000,9000,9000,0.006346
test_9050.txt,9050,9050,9050,0.005914
test_9100.txt,9100,9100,9100,0.005731
test_9150.txt,9150,9150,9150,0.005885
test_9200.txt,9200,9200,9200,0.006025
test_9250.txt,9250,9250,9250,0.00644
test_9300.txt,9300,9300,9300,0.006617
test_9350.txt,9350,9350,9350,0.006256
test_9400.txt,9400,9400,9400,0.005968
test_9450.txt,9450,9450,9450,0.006244
test_9500.txt,9500,9500,9500,0.00812
test_9550.txt,9550,9550,9550,0.007428
test_9600.txt,9600,9600,9600,0.008946
test_9650.txt,9650,9650,9650,0.008174
test_9700.txt,9700,9700,9700,0.008119
test_9750.txt,9750,9750,9750,0.007749
test_9800.txt,9800,9800,9800,0.007558
test_9850.txt,9850,9850,9850,0.008141
test_9900.txt,9900,9900,9900,0.006764
test_9950.txt,9950,9950,9950,0.006251
test_10000.txt,10000,10000,10000,0.006167
