Test File,N,M,L,Average Time (s)
test_5500.txt,5500,5500,5500,0.010645794868469238
test_5550.txt,5550,5550,5550,0.010587477684020996
test_5600.txt,5600,5600,5600,0.010230207443237304
test_5650.txt,5650,5650,5650,0.010887432098388671
test_5700.txt,5700,5700,5700,0.010889744758605957
test_5750.txt,5750,5750,5750,0.010836243629455566
test_5800.txt,5800,5800,5800,0.01014406681060791
test_5850.txt,5850,5850,5850,0.010670685768127441
test_5900.txt,5900,5900,5900,0.010960555076599121
test_5950.txt,5950,5950,5950,0.010789012908935547
test_6000.txt,6000,6000,6000,0.010547351837158204
test_6050.txt,6050,6050,6050,0.00864737033843994
test_6100.txt,6100,6100,6100,0.007265210151672363
test_6150.txt,6150,6150,6150,0.010159778594970702
test_6200.txt,6200,6200,6200,0.010689830780029297
test_6250.txt,6250,6250,6250,0.01031351089477539
test_6300.txt,6300,6300,6300,0.011221909523010254
test_6350.txt,6350,6350,6350,0.011282062530517578
test_6400.txt,6400,6400,6400,0.010823321342468262
test_6450.txt,6450,6450,6450,0.010645318031311034
test_6500.txt,6500,6500,6500,0.011359071731567383
test_6550.txt,6550,6550,6550,0.011427736282348633
test_6600.txt,6600,6600,6600,0.013034534454345704
test_6650.txt,6650,6650,6650,0.00939629077911377
test_6700.txt,6700,6700,6700,0.008858752250671387
test_6750.txt,6750,6750,6750,0.01181168556213379
test_6800.txt,6800,6800,6800,0.011455845832824708
test_6850.txt,6850,6850,6850,0.012101984024047852
test_6900.txt,6900,6900,6900,0.013381886482238769
test_6950.txt,6950,6950,6950,0.011121821403503419
test_7000.txt,7000,7000,7000,0.013169169425964355
test_7050.txt,7050,7050,7050,0.01369023323059082
test_7100.txt,7100,7100,7100,0.013911962509155273
test_7150.txt,7150,7150,7150,0.014217257499694824
test_7200.txt,7200,7200,7200,0.011847138404846191
test_7250.txt,7250,7250,7250,0.01258082389831543
test_7300.txt,7300,7300,7300,0.012421417236328124
test_7350.txt,7350,7350,7350,0.01296219825744629
test_7400.txt,7400,7400,7400,0.014661288261413575
test_7450.txt,7450,7450,7450,0.014164924621582031
test_7500.txt,7500,7500,7500,0.01385807991027832
test_7550.txt,7550,7550,7550,0.012803316116333008
test_7600.txt,7600,7600,7600,0.01285557746887207
test_7650.txt,7650,7650,7650,0.012888932228088379
test_7700.txt,7700,7700,7700,0.012302422523498535
test_7750.txt,7750,7750,7750,0.016118407249450684
test_7800.txt,7800,7800,7800,0.016220688819885254
test_7850.txt,7850,7850,7850,0.00992443561553955
test_7900.txt,7900,7900,7900,0.011629462242126465
test_7950.txt,7950,7950,7950,0.011221098899841308
test_8000.txt,8000,8000,8000,0.014351296424865722
test_8050.txt,8050,8050,8050,0.013688254356384277
test_8100.txt,8100,8100,8100,0.011393523216247559
test_8150.txt,8150,8150,8150,0.012612581253051758
test_8200.txt,8200,8200,8200,0.013205957412719727
test_8250.txt,8250,8250,8250,0.011566853523254395
test_8300.txt,8300,8300,8300,0.01416311264038086
test_8350.txt,8350,8350,8350,0.01522390842437744
test_8400.txt,8400,8400,8400,0.010016179084777832
test_8450.txt,8450,8450,8450,0.01119852066040039
test_8500.txt,8500,8500,8500,0.012415647506713867
test_8550.txt,8550,8550,8550,0.010872697830200196
test_8600.txt,8600,8600,8600,0.014106011390686036
test_8650.txt,8650,8650,8650,0.01448523998260498
test_8700.txt,8700,8700,8700,0.015260124206542968
test_8750.txt,8750,8750,8750,0.016591787338256836
test_8800.txt,8800,8800,8800,0.01710841655731201
test_8850.txt,8850,8850,8850,0.015820741653442383
test_8900.txt,8900,8900,8900,0.0191666841506958
test_8950.txt,8950,8950,8950,0.015707015991210938
test_9000.txt,9000,9000,9000,0.014782118797302245
test_9050.txt,9050,9050,9050,0.016923403739929198
test_9100.txt,9100,9100,9100,0.01589391231536865
test_9150.txt,9150,9150,9150,0.01486954689025879
test_9200.txt,9200,9200,9200,0.014044404029846191
test_9250.txt,9250,9250,9250,0.013916230201721192
test_9300.txt,9300,9300,9300,0.018145060539245604
test_9350.txt,9350,9350,9350,0.01391613483428955
test_9400.txt,9400,9400,9400,0.010201740264892577
test_9450.txt,9450,9450,9450,0.014178943634033204
test_9500.txt,9500,9500,9500,0.015436530113220215
test_9550.txt,9550,9550,9550,0.016946840286254882
test_9600.txt,9600,9600,9600,0.017129945755004882
test_9650.txt,9650,9650,9650,0.01661677360534668
test_9700.txt,9700,9700,9700,0.017177844047546388
test_9750.txt,9750,9750,9750,0.017063140869140625
test_9800.txt,9800,9800,9800,0.013723468780517578
test_9850.txt,9850,9850,9850,0.011155986785888672
test_9900.txt,9900,9900,9900,-0.07803761959075928
test_9950.txt,9950,9950,9950,0.016908025741577147
test_10000.txt,10000,10000,10000,0.016933512687683106
